	Dark skin	Light skin	Blue sky	Foliage	Blue flower	Bluish green	Orange	Purplish blue	Moderate red	Purple	Yellow green	Orange yellow	Blue	Green	Red	Yellow	Magenta	Cyan	White	Neutral 8	Neutral 6.5	Neutral 5	Neutral 3.5	Black
718.15	0.19904	0.90021	0.14761	0.1168	0.45185	0.23165	0.70058	0.34244	0.61082	0.34704	0.36372	0.66626	0.079135	0.12671	0.64686	0.77916	0.87929	0.072357	0.95252	0.60069	0.35636	0.17772	0.080697	0.031064
721.34	0.20317	0.90529	0.15114	0.11835	0.46056	0.22893	0.69973	0.36138	0.61024	0.35934	0.36024	0.66693	0.082704	0.12504	0.64728	0.78174	0.88169	0.074068	0.95267	0.59984	0.35575	0.17728	0.080513	0.031044
724.54	0.208	0.90977	0.15573	0.12004	0.47051	0.22698	0.69969	0.38032	0.60955	0.37084	0.35809	0.66722	0.086665	0.124	0.64764	0.7842	0.88366	0.076304	0.9531	0.59916	0.3551	0.17669	0.080294	0.03105
727.73	0.21385	0.91377	0.16148	0.12212	0.48233	0.22637	0.70099	0.39903	0.60899	0.38221	0.35798	0.66722	0.091624	0.12395	0.64804	0.78635	0.88549	0.079077	0.95366	0.59848	0.35436	0.17613	0.080018	0.030998
730.92	0.22092	0.91704	0.16859	0.12473	0.49673	0.22747	0.70367	0.41728	0.60848	0.39365	0.36028	0.66718	0.097934	0.12511	0.64855	0.78814	0.88711	0.082703	0.95437	0.5975	0.35365	0.17548	0.079881	0.030982
734.11	0.22957	0.91996	0.17714	0.12787	0.51409	0.23029	0.7079	0.43478	0.60798	0.40564	0.36499	0.66718	0.10604	0.12759	0.64888	0.79019	0.88859	0.087365	0.95511	0.59662	0.35297	0.17496	0.079697	0.030973
737.3	0.23979	0.92243	0.18721	0.13149	0.53438	0.23448	0.71325	0.45109	0.60739	0.41798	0.3717	0.66695	0.11588	0.13122	0.64906	0.7919	0.8897	0.09328	0.95584	0.59579	0.35216	0.17437	0.079453	0.030948
740.49	0.25177	0.92481	0.19913	0.13557	0.558	0.24007	0.71938	0.46637	0.60669	0.43087	0.38023	0.66671	0.12776	0.1361	0.64946	0.79358	0.89086	0.10053	0.95655	0.59501	0.35143	0.17382	0.079249	0.030884
743.69	0.2652	0.92675	0.21267	0.14009	0.58426	0.24676	0.72615	0.48046	0.60613	0.44415	0.38986	0.66657	0.14186	0.14203	0.64988	0.79523	0.89192	0.10969	0.95734	0.59429	0.35072	0.17328	0.079063	0.030867
746.88	0.27987	0.92844	0.22727	0.1448	0.61252	0.25388	0.73294	0.4931	0.60529	0.45709	0.39993	0.66609	0.15795	0.14864	0.64995	0.79666	0.89272	0.12201	0.95779	0.59344	0.34986	0.17259	0.078858	0.030818
750.07	0.29503	0.92987	0.24232	0.14953	0.64134	0.26085	0.73925	0.50446	0.6047	0.46975	0.40977	0.66555	0.17569	0.15538	0.65008	0.79807	0.89319	0.1372	0.95825	0.59257	0.34917	0.172	0.078637	0.030783
753.26	0.30998	0.9311	0.25638	0.15387	0.66933	0.26709	0.74466	0.51452	0.6039	0.48129	0.41863	0.66452	0.19418	0.16189	0.65015	0.79883	0.89371	0.15381	0.9586	0.59181	0.34822	0.17133	0.078454	0.030737
756.45	0.32393	0.9321	0.26865	0.15771	0.69517	0.27234	0.74911	0.5232	0.60301	0.49183	0.42599	0.66317	0.21283	0.16772	0.65029	0.7994	0.89389	0.17051	0.95859	0.5908	0.34723	0.17066	0.078177	0.030689
759.64	0.33663	0.93274	0.27846	0.16118	0.71833	0.27654	0.75321	0.53056	0.60219	0.5015	0.43168	0.66224	0.23133	0.17251	0.65018	0.79974	0.89367	0.18631	0.95843	0.58942	0.34619	0.16999	0.077911	0.030648
762.84	0.34778	0.93316	0.28566	0.16396	0.73884	0.27932	0.75646	0.53661	0.60122	0.5105	0.4353	0.66174	0.24905	0.17589	0.64997	0.79956	0.89301	0.20001	0.95821	0.58812	0.34518	0.16914	0.07764	0.030645
766.03	0.35729	0.93353	0.29063	0.1662	0.75668	0.28072	0.75915	0.54175	0.60025	0.51944	0.43718	0.66147	0.26621	0.17779	0.64977	0.79928	0.89216	0.21079	0.95784	0.58681	0.34414	0.16826	0.077385	0.030684
769.22	0.36552	0.93415	0.29411	0.1682	0.77241	0.28105	0.76147	0.54644	0.59939	0.52904	0.43756	0.66125	0.28313	0.17882	0.64967	0.79901	0.8915	0.21895	0.95751	0.58587	0.34332	0.16772	0.077116	0.030652
772.41	0.37236	0.93473	0.29639	0.16972	0.78618	0.28048	0.76444	0.55021	0.59865	0.53905	0.43703	0.6608	0.29976	0.17883	0.64972	0.79897	0.8907	0.22469	0.95781	0.58477	0.34233	0.16705	0.076853	0.030656
